aqu	AQU	Amphimedon queenslandica	Metazoa;Porifera;
rno	RNO	Rattus norvegicus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Rodentia;
bta	BTA	Bos taurus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Ruminantia;
oar	OAR	Ovis aries	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Ruminantia;
ssc	SSC	Sus scrofa	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Suina;
dre	DRE	Danio rerio	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Pisces;
fru	FRU	Fugu rubripes	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Pisces;
tni	TNI	Tetraodon nigroviridis	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Pisces;
aga	AGA	Anopheles gambiae	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
ame	AME	Apis mellifera	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
bmo	BMO	Bombyx mori	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dan	DAN	Drosophila ananassae	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
der	DER	Drosophila erecta	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dgr	DGR	Drosophila grimshawi	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dme	DME	Drosophila melanogaster	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dmo	DMO	Drosophila mojavensis	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dpe	DPE	Drosophila persimilis	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dps	DPS	Drosophila pseudoobscura	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dse	DSE	Drosophila sechellia	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dsi	DSI	Drosophila simulans	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dvi	DVI	Drosophila virilis	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dwi	DWI	Drosophila willistoni	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dya	DYA	Drosophila yakuba	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
lmi	LMI	Locusta migratoria	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
tca	TCA	Tribolium castaneum	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
dpu	DPU	Daphnia pulex	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Crustacea;
isc	ISC	Ixodes scapularis	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Chelicerata;
cbr	CBR	Caenorhabditis briggsae	Metazoa;Bilateria;Ecdysozoa;Nematoda;
cel	CEL	Caenorhabditis elegans	Metazoa;Bilateria;Ecdysozoa;Nematoda;
sja	SJA	Schistosoma japonicum	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;
sma	SMA	Schistosoma mansoni	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;
sme	SME	Schmidtea mediterranea	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;
cte	CTE	Capitella teleta	Metazoa;Bilateria;Lophotrochozoa;Annelida;
cla	CLA	Cerebratulus lacteus	Metazoa;Bilateria;Lophotrochozoa;Nemertea;
hru	HRU	Haliotis rufescens	Metazoa;Bilateria;Lophotrochozoa;Molusca;
lgi	LGI	Lottia gigantea	Metazoa;Bilateria;Lophotrochozoa;Molusca;
ddi	DDI	Dictyostelium discoideum	Mycetozoa;
cre	CRE	Chlamydomonas reinhardtii	Viridiplantae;Chlorophyta;
pta	PTA	Pinus taeda	Viridiplantae;Coniferophyta;
ppt	PPT	Physcomitrella patens	Viridiplantae;Embryophyta;
smo	SMO	Selaginella moellendorffii	Viridiplantae;Embryophyta;
ath	ATH	Arabidopsis thaliana	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;
bna	BNA	Brassica napus	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;
bol	BOL	Brassica oleracea	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;
bra	BRA	Brassica rapa	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;
cpa	CPA	Carica papaya	Viridiplantae;Magnoliophyta;eudicotyledons;Caricaceae;
gma	GMA	Glycine max	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
lja	LJA	Lotus japonicus	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
mtr	MTR	Medicago truncatula	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
vun	VUN	Vigna unguiculata	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
ghb	GHB	Gossypium herbaceum	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;
ghr	GHR	Gossypium hirsutum	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;
gra	GRA	Gossypium raimondii	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;
ptc	PTC	Populus trichocarpa	Viridiplantae;Magnoliophyta;eudicotyledons;Salicaceae;
sly	SLY	Solanum lycopersicum	Viridiplantae;Magnoliophyta;eudicotyledons;Solanaceae;
vvi	VVI	Vitis vinifera	Viridiplantae;Magnoliophyta;eudicotyledons;Vitaceae;
osa	OSA	Oryza sativa	Viridiplantae;Magnoliophyta;monocotyledons;
sbi	SBI	Sorghum bicolor	Viridiplantae;Magnoliophyta;monocotyledons;
sof	SOF	Saccharum officinarum	Viridiplantae;Magnoliophyta;monocotyledons;
tae	TAE	Triticum aestivum	Viridiplantae;Magnoliophyta;monocotyledons;
zma	ZMA	Zea mays	Viridiplantae;Magnoliophyta;monocotyledons;
bkv	VRL	BK polyomavirus	Viruses;
ebv	VRL	Epstein Barr virus	Viruses;
hcmv	VRL	Human cytomegalovirus	Viruses;
hiv1	VRL	Human immunodeficiency virus 1	Viruses;
hsv1	VRL	Herpes Simplex Virus 1	Viruses;
jcv	VRL	JC polyomavirus	Viruses;
kshv	VRL	Kaposi sarcoma-associated herpesvirus	Viruses;
mcmv	VRL	Mouse cytomegalovirus	Viruses;
mcv	VRL	Merkel cell polyomavirus	Viruses;
mdv1	VRL	Mareks disease virus	Viruses;
mdv2	VRL	Mareks disease virus type 2	Viruses;
mghv	VRL	Mouse gammaherpesvirus 68	Viruses;
rlcv	VRL	Rhesus lymphocryptovirus	Viruses;
rrv	VRL	Rhesus monkey rhadinovirus	Viruses;
sv40	VRL	Simian virus 40	Viruses;
hsv2	VRL	Herpes Simplex Virus 2	Viruses;
pvu	PVU	Phaseolus vulgaris	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
mdm	MDM	Malus domestica	Viridiplantae;Magnoliophyta;eudicotyledons;Rosaceae;
crm	CRM	Caenorhabditis remanei	Metazoa;Bilateria;Ecdysozoa;Nematoda;
ppc	PPC	Pristionchus pacificus	Metazoa;Bilateria;Ecdysozoa;Nematoda;
hbv	VRL	Herpes B virus	Viruses;
bdi	BDI	Brachypodium distachyon	Viridiplantae;Magnoliophyta;monocotyledons;
aqc	AQC	Aquilegia caerulea	Viridiplantae;Magnoliophyta;eudicotyledons;Ranunculaceae;
iltv	VRL	Infectious laryngotracheitis virus	Viruses;
hvt	VRL	Herpesvirus of turkeys	Viruses;
peu	PEU	Populus euphratica	Viridiplantae;Magnoliophyta;eudicotyledons;Salicaceae;
eca	ECA	Equus caballus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Laurasiatheria;
ola	OLA	Oryzias latipes	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Pisces;
bhv1	VRL	Bovine herpesvirus 1	Viruses;
csi	CSI	Citrus sinensis	Viridiplantae;Magnoliophyta;eudicotyledons;Rutaceae;
ccl	CCL	Citrus clementine	Viridiplantae;Magnoliophyta;eudicotyledons;Rutaceae;
crt	CRT	Citrus reticulata	Viridiplantae;Magnoliophyta;eudicotyledons;Rutaceae;
ctr	CTR	Citrus trifoliata	Viridiplantae;Magnoliophyta;eudicotyledons;Rutaceae;
bma	BMA	Brugia malayi	Metazoa;Bilateria;Ecdysozoa;Nematoda;
api	API	Acyrthosiphon pisum	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
rco	RCO	Ricinus communis	Viridiplantae;Magnoliophyta;eudicotyledons;Euphorbiaceae;
aae	AAE	Aedes aegypti	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
gar	GAR	Gossypium arboreum	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;
cqu	CQU	Culex quinquefasciatus	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
tgu	TGU	Taeniopygia guttata	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Aves;
aly	ALY	Arabidopsis lyrata	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;
esi	ESI	Ectocarpus siliculosus	Chromalveolata;Heterokontophyta;
nvi	NVI	Nasonia vitripennis	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
ahy	AHY	Arachis hypogaea	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
gso	GSO	Glycine soja	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
pab	PAB	Picea abies	Viridiplantae;Coniferophyta;
smr	SMR	Strigamia maritima	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Mandibulata;
ttu	TTU	Triticum turgidum	Viridiplantae;Magnoliophyta;monocotyledons;
ata	ATA	Aegilops tauschii	Viridiplantae;Magnoliophyta;monocotyledons;
hvu	HVU	Hordeum vulgare	Viridiplantae;Magnoliophyta;monocotyledons;
far	FAR	Festuca arundinacea	Viridiplantae;Magnoliophyta;monocotyledons;
ngi	NGI	Nasonia giraulti	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
nlo	NLO	Nasonia longicornis	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
bgy	BGY	Bruguiera gymnorhiza	Viridiplantae;Magnoliophyta;eudicotyledons;Rhizophoraceae;
bcy	BCY	Bruguiera cylindrica	Viridiplantae;Magnoliophyta;eudicotyledons;Rhizophoraceae;
pma	PMA	Petromyzon marinus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Agnathostomata;
tcc	TCC	Theobroma cacao	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;
xbo	XBO	Xenoturbella bocki	Metazoa;Bilateria;Deuterostoma;
egr	EGR	Echinococcus granulosus	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;
emu	EMU	Echinococcus multilocularis	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;
hme	HME	Heliconius melpomene	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
gpy	GPY	Glottidia pyramidata	Metazoa;Bilateria;Lophotrochozoa;Brachiopoda;
tre	TRE	Terebratulina retusa	Metazoa;Bilateria;Lophotrochozoa;Brachiopoda;
rgl	RGL	Rehmannia glutinosa	Viridiplantae;Magnoliophyta;eudicotyledons;Lamiales;
cme	CME	Cucumis melo	Viridiplantae;Magnoliophyta;eudicotyledons;Cucurbitaceae;
bpcv1	VRL	Bandicoot papillomatosis carcinomatosis virus type 1	Viruses;
bpcv2	VRL	Bandicoot papillomatosis carcinomatosis virus type 2	Viruses;
ssp	SSP	Saccharum ssp.	Viridiplantae;Magnoliophyta;monocotyledons;
rmi	RMI	Rhipicephalus microplus	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Chelicerata;
asu	ASU	Ascaris suum	Metazoa;Bilateria;Ecdysozoa;Nematoda;
aca	ACA	Anolis carolinensis	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Lepidosauria
amg	AMG	Acacia mangium	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
aau	AAU	Acacia auriculiformis	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
pti	PTI	Phaeodactylum tricornutum	Chromalveolata;Heterokontophyta;
hvsa	VRL	Herpesvirus saimiri strain A11	Viruses;
meu	MEU	Macropus eugenii	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Metatheria;
ssl	SSL	Salvia sclarea	Viridiplantae;Magnoliophyta;eudicotyledons;Lamiales;
tur	TUR	Tetranychus urticae	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Chelicerata;
sha	SHA	Sarcophilus harrisii	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Metatheria;
hco	HCO	Haemonchus contortus	Metazoa;Bilateria;Ecdysozoa;Nematoda;
hhv6b	VRL	Human herpesvirus 6B	Viruses;
dpr	DPR	Digitalis purpurea	Viridiplantae;Magnoliophyta;eudicotyledons;Lamiales;
nta	NTA	Nicotiana tabacum	Viridiplantae;Magnoliophyta;eudicotyledons;Solanaceae;
stu	STU	Solanum tuberosum	Viridiplantae;Magnoliophyta;eudicotyledons;Solanaceae;
egu	EGU	Elaeis guineensis	Viridiplantae;Magnoliophyta;monocotyledons;
mes	MES	Manihot esculenta	Viridiplantae;Magnoliophyta;eudicotyledons;Euphorbiaceae;
mse	MSE	Manduca sexta	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;
cca	CCA	Cynara cardunculus	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;
hbr	HBR	Hevea brasiliensis	Viridiplantae;Magnoliophyta;eudicotyledons;Euphorbiaceae;
mja	MJA	Marsupenaeus japonicus	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Crustacea;
prv	VRL	Pseudorabies virus	Viruses;
pde	PDE	Pinus densata	Viridiplantae;Coniferophyta;
pol	POL	Paralichthys olivaceus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Pisces;
han	HAN	Helianthus annuus	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;
hci	HCI	Helianthus ciliaris	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;
htu	HTU	Helianthus tuberosus	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;
hex	HEX	Helianthus exilis	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;
har	HAR	Helianthus argophyllus	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;
hpe	HPE	Helianthus petiolaris	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;
hpa	HPA	Helianthus paradoxus	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;
hhi	HHI	Hippoglossus hippoglossus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Pisces;
blv	VRL	Bovine leukemia virus	Viruses;
ccr	CCR	Cyprinus carpio	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Pisces;
